# Clavi emoji list v1.0
# Format: emoji<TAB>keywords (space-separated, English + Ukrainian)
# ~300 most popular emoji, ordered by popularity within each section

# ── Smileys & Emotion ──
🐸	frog face жаба
🐵	monkey face мавпа
🙈	see no evil monkey
🙉	hear no evil monkey
🙊	speak no evil monkey
🐔	chicken face курка
🐧	penguin пінгвін
🐦	bird птах
🦆	duck качка
🦅	eagle орел
🦉	owl сова
🦋	butterfly метелик
🐛	bug caterpillar
🐝	honeybee бджола
🐞	ladybug сонечко
🦎	lizard ящірка
🐍	snake змія
🐢	turtle черепаха
🦕	dinosaur sauropod
🦖	t-rex dinosaur
🦈	shark акула
🐬	dolphin дельфін
🐳	whale кит
🐟	fish риба
🐙	octopus восьминіг
🦑	squid
🦐	shrimp
🦀	crab краб
🌸	cherry blossom flower квітка
🌺	hibiscus flower квітка
🌻	sunflower соняшник
🌹	rose троянда
🌷	tulip тюльпан
🍀	four leaf clover щастя
🌿	herb plant рослина
🍃	leaf falling листок
🌳	deciduous tree дерево
🌲	evergreen tree ялина
🌴	palm tree пальма
🌵	cactus кактус
🍄	mushroom гриб
🌊	wave ocean хвиля море
⛰️	mountain гора
🏔️	snow mountain
🌋	volcano вулкан
🌍	globe earth world земля
🌙	crescent moon місяць
⭐	star зірка
☀️	sun сонце
⛅	cloud sun хмара
🌈	rainbow веселка
❄️	snowflake сніг
⚡	lightning bolt блискавка
🌪️	tornado
💧	droplet вода
🌊	water wave море

# ── Food & Drink ──
🍎	red apple яблуко
🍊	orange апельсин
🍋	lemon лимон
🍇	grapes виноград
🍓	strawberry полуниця
🫐	blueberry чорниця
🍈	melon
🍉	watermelon кавун
🍒	cherries вишня
🍑	peach персик
🥭	mango манго
🍍	pineapple ананас
🥥	coconut кокос
🍌	banana банан
🥝	kiwi ківі
🍅	tomato помідор
🥑	avocado авокадо
🍆	eggplant баклажан
🥦	broccoli броколі
🥕	carrot морква
🌽	corn кукурудза
🧅	onion цибуля
🍄	mushroom гриб
🥪	sandwich бутерброд
🍕	pizza піца
🍔	hamburger бургер
🌮	taco
🌯	burrito wrap
🍜	noodles ramen локшина
🍱	bento box
🍣	sushi суші
🍩	donut пончик
🍪	cookie печиво
🎂	birthday cake торт
🍰	shortcake cake тістечко
🧁	cupcake кекс
🍫	chocolate шоколад
🍭	lollipop цукерка
🍬	candy цукерка
🧃	juice box сік
☕	coffee hot кава
🍵	tea чай
🧋	bubble tea boba
🍺	beer пиво
🍷	wine вино
🥂	champagne glasses тост
🥤	cup with straw

# ── Activities & Sports ──
⚽	soccer football футбол
🏀	basketball баскетбол
🏈	american football
⚾	baseball
🎾	tennis теніс
🏐	volleyball волейбол
🎱	billiard pool
🏓	table tennis пінг-понг
🏸	badminton
🥊	boxing glove бокс
🥋	martial arts karate
⛷️	skier ski лижі
🏂	snowboard
🏄	surfer серфінг
🚴	cyclist велосипед
🏊	swimmer плавання
🧗	climbing
🤸	gymnastics
🤺	fencer
🏇	horse racing
🎿	ski лижі
🎯	bullseye target ціль
🎮	video game геймпад
🕹️	joystick game
🎲	game die dice кубик
♟️	chess шахи
🎭	theater masks
🎨	artist palette малювання
🎬	clapperboard film кіно
🎤	microphone мікрофон
🎧	headphones музика
🎸	guitar гітара
🎹	piano keyboard піаніно
🥁	drum барабан
🎺	trumpet труба
🎻	violin скрипка
📷	camera фото
📸	camera flash фото
🎥	movie camera відео
🎞️	film frames
📽️	film projector

# ── Travel & Places ──
🚗	car automobile машина автомобіль
🚕	taxi
🚙	suv car
🚌	bus автобус
🚎	trolleybus тролейбус
🏎️	racing car
🚓	police car
🚑	ambulance швидка
🚒	fire truck
🚚	truck вантажівка
✈️	airplane літак
🚀	rocket космос ракета
🛸	flying saucer ufo
⛵	sailboat
🚢	ship cruise корабель
🚂	locomotive train потяг
🚁	helicopter гелікоптер
🏠	house home дім будинок
🏡	house garden
🏢	office building офіс
🏫	school школа
🏥	hospital лікарня
🏦	bank банк
🏨	hotel готель
🏪	convenience store магазин
🗼	tokyo tower
🗽	statue of liberty
🗺️	map мережа карта
🌆	cityscape місто
🌉	bridge night
⛩️	shinto shrine

# ── Objects ──
💻	laptop computer ноутбук комп'ютер
🖥️	desktop computer
⌨️	keyboard клавіатура
🖱️	computer mouse
📱	smartphone phone телефон смартфон
📞	telephone phone дзвінок
📺	television tv телевізор
📷	camera фото
⌚	watch годинник
💡	light bulb idea ідея лампочка
🔦	flashlight
🕯️	candle
🔋	battery
💾	floppy disk save
💿	optical disc cd
📀	dvd
📡	satellite dish
📻	radio
🎙️	microphone
📺	tv television
📖	open book книга читати
📚	books книги
📝	memo pencil нотатка
✏️	pencil pencil олівець
🖊️	pen ручка
📌	pushpin pin
📎	paperclip скріпка
📏	ruler лінійка
🔑	key ключ
🔒	lock замок закритий
🔓	unlock open відкрити
🔨	hammer молоток
⚙️	gear settings налаштування
🔧	wrench tool гайковий ключ
🧲	magnet
💊	pill medicine ліки
💉	syringe injection
🩺	stethoscope
🧪	test tube
🧬	dna genetics
🔬	microscope
🔭	telescope
🧭	compass
🗑️	wastebasket trash
🧹	broom sweep
🧺	basket
🧻	toilet paper
🛒	shopping cart кошик
🎁	gift present подарунок
🎀	ribbon bow
🎊	confetti party
🎉	party popper celebration свято
🏆	trophy winner перемога трофей
🥇	gold medal first place перше місце
🎖️	military medal
🎗️	reminder ribbon
🎫	ticket квиток
💰	money bag гроші
💵	dollar banknote
💳	credit card картка
💎	diamond gem алмаз
👑	crown king queen корона
💍	ring каблучка
👓	glasses окуляри
🕶️	sunglasses
🧢	billed cap кепка
👒	hat капелюх
👟	running shoe кросівок
👠	high heel туфля
👗	dress сукня
👔	necktie краватка
👕	t-shirt футболка
👖	jeans джинси
🧥	coat пальто
🎒	backpack рюкзак
👜	handbag сумка
🧳	luggage валіза

# ── Symbols ──
✅	check mark done ok виконано
❌	cross mark no wrong ні
⭕	circle ok red
❓	question mark питання
❗	exclamation mark увага
⚠️	warning attention увага
🔴	red circle
🟠	orange circle
🟡	yellow circle
🟢	green circle
🔵	blue circle
🟣	purple circle
⚫	black circle
⚪	white circle
🔶	orange diamond
🔷	blue diamond
🔸	small orange diamond
🔹	small blue diamond
🔺	red triangle up
🔻	red triangle down
➡️	right arrow праворуч
⬅️	left arrow ліворуч
⬆️	up arrow вгору
⬇️	down arrow вниз
↩️	left arrow hook back назад
🔄	counterclockwise refresh оновити
🔃	clockwise reload
▶️	play button відтворити
⏸️	pause button пауза
⏹️	stop button стоп
⏭️	next track вперед
⏮️	previous track назад
🔊	speaker loud sound гучно
🔇	muted speaker тихо
🔔	bell notification дзвінок
🔕	bell slash без звуку
📢	loudspeaker announcement
📣	megaphone
🔁	repeat loop loop
🔀	shuffle random
♾️	infinity нескінченність
